dt,Fuel Ethanol
2019-03-10T00:00:00,-2.2651455870845383
2019-03-17T00:00:00,2.7527569660745765
2019-03-24T00:00:00,7.2751206669591895
2019-03-31T00:00:00,6.987736900780384
2019-04-07T00:00:00,6.165888492172478
2019-04-14T00:00:00,6.240629685157417
2019-04-21T00:00:00,4.820054375374405
2019-04-28T00:00:00,2.4975160328786883
2019-05-05T00:00:00,2.294663995629209
2019-05-12T00:00:00,3.4643106254359513
2019-05-19T00:00:00,5.761670206516323
2019-05-26T00:00:00,6.400790104876997
2019-06-02T00:00:00,2.995844179567997
2019-06-09T00:00:00,-1.677640479841258
2019-06-16T00:00:00,-0.15706564420011615
2019-06-23T00:00:00,-0.493679062471164
2019-06-30T00:00:00,4.705346985210457
2019-07-07T00:00:00,2.7508596436386368
2019-07-14T00:00:00,7.336457184858491
2019-07-21T00:00:00,9.402854107975811
2019-07-28T00:00:00,11.385259707743444
2019-08-04T00:00:00,0.8463115648039254
2019-08-11T00:00:00,3.762436460007823
2019-08-18T00:00:00,0.4643363859151428
2019-08-25T00:00:00,-0.3425697064307731
2019-09-01T00:00:00,4.836365238074269
2019-09-08T00:00:00,-1.7253428845985797
2019-09-15T00:00:00,2.1630176734370954
2019-09-22T00:00:00,-0.5700649608909036
2019-09-29T00:00:00,-0.9639582000426472
2019-10-06T00:00:00,-11.643978185754133
2019-10-13T00:00:00,-8.574388727724823
2019-10-20T00:00:00,-10.599656860693807
2019-10-27T00:00:00,-7.240833553152193
2019-11-03T00:00:00,-5.511879049676027
2019-11-10T00:00:00,-10.75529471804032
2019-11-17T00:00:00,-9.990785836514416
2019-11-24T00:00:00,-11.569995638900998
2019-12-01T00:00:00,-10.382110290924885
2019-12-08T00:00:00,-4.696373962429002
2019-12-15T00:00:00,-8.691827587651336
2019-12-22T00:00:00,-7.193187221717878
2019-12-29T00:00:00,-9.18746222260599
2020-01-05T00:00:00,-3.40586565752129
2020-01-12T00:00:00,-1.4774527857479236
2020-01-19T00:00:00,2.2552231819922497
2020-01-26T00:00:00,1.1009174311926495
2020-02-02T00:00:00,-1.9751952227836433
2020-02-09T00:00:00,3.8012443535327733
2020-02-16T00:00:00,3.629824781499602
2020-02-23T00:00:00,4.255767851870607
2020-03-01T00:00:00,2.897654672107497
2020-03-08T00:00:00,2.540980152543071
2020-03-15T00:00:00,0.761920367032598
2020-03-22T00:00:00,-1.2598167539267013
2020-03-29T00:00:00,7.189896632210724
2020-04-05T00:00:00,16.806795153710176
2020-04-12T00:00:00,21.136884812136202
2020-04-19T00:00:00,21.72594188244603
2020-04-26T00:00:00,16.047587574355582
2020-05-03T00:00:00,13.993234822859169
2020-05-10T00:00:00,8.719101123595507
2020-05-17T00:00:00,0.9485558024269425
2020-05-24T00:00:00,2.4398868458274325
2020-05-31T00:00:00,-0.34141799317164434
2020-06-07T00:00:00,0.0
2020-06-14T00:00:00,-1.2353676028316274
2020-06-21T00:00:00,-2.471368294153109
2020-06-28T00:00:00,-12.364726846016772
2020-07-05T00:00:00,-10.382893650310743
2020-07-12T00:00:00,-11.799700406591052
2020-07-19T00:00:00,-16.412680991177343
2020-07-26T00:00:00,-17.14892921366684
2020-08-02T00:00:00,-11.98684950469352
2020-08-09T00:00:00,-17.305196164635927
2020-08-16T00:00:00,-13.253733898232555
2020-08-23T00:00:00,-11.195718388303888
2020-08-30T00:00:00,-12.264190580227707
2020-09-06T00:00:00,-11.138272812124983
2020-09-13T00:00:00,-14.803339357948197
2020-09-20T00:00:00,-11.124444444444448
2020-09-27T00:00:00,-15.194452818812188
2020-10-04T00:00:00,-7.312476441764037
2020-10-11T00:00:00,-9.306015139839541
2020-10-18T00:00:00,-7.690507395618806
2020-10-25T00:00:00,-7.09986255272762
2020-11-01T00:00:00,-10.053030995702649
2020-11-08T00:00:00,-3.9361448653800313
2020-11-15T00:00:00,-1.516037827824901
2020-11-22T00:00:00,2.9047689500419027
2020-11-29T00:00:00,2.9119627888948063
2020-12-06T00:00:00,1.2285124914049872
2020-12-13T00:00:00,5.284888521882736
2020-12-20T00:00:00,7.91839396338907
2020-12-27T00:00:00,11.742892459826958
2021-01-03T00:00:00,3.6595138456058995
2021-01-10T00:00:00,2.981830826740839
2021-01-17T00:00:00,-1.67700054096791
2021-01-24T00:00:00,-2.648077874938126
2021-01-31T00:00:00,3.586947260799178
2021-02-07T00:00:00,-2.307250184744236
2021-02-14T00:00:00,-1.9531092369153735
2021-02-21T00:00:00,-7.820211991261427
2021-02-28T00:00:00,-10.17064572985098
2021-03-07T00:00:00,-9.303854688912628
2021-03-14T00:00:00,-13.244979266607038
2021-03-21T00:00:00,-9.656172328086166
2021-03-28T00:00:00,-17.898666251895623
2021-04-04T00:00:00,-23.804953674652108
2021-04-11T00:00:00,-25.304889147766573
2021-04-18T00:00:00,-26.154790711112717
2021-04-25T00:00:00,-25.063598739416026
2021-05-02T00:00:00,-20.193659222239567
2021-05-09T00:00:00,-19.83050847457627
2021-05-16T00:00:00,-17.747396935579452
2021-05-23T00:00:00,-18.10493614083534
2021-05-30T00:00:00,-12.849261434418924
2021-06-06T00:00:00,-8.44876616824144
2021-06-13T00:00:00,-3.4854305256254103
2021-06-20T00:00:00,0.40886184273083437
2021-06-27T00:00:00,6.98274151953977
2021-07-04T00:00:00,2.565470417070803
2021-07-11T00:00:00,2.5524068322981375
2021-07-18T00:00:00,13.721529215696183
2021-07-25T00:00:00,12.139897395422272
2021-08-01T00:00:00,11.319178216848535
2021-08-08T00:00:00,12.789873417721509
2021-08-15T00:00:00,6.354218056240746
2021-08-22T00:00:00,3.988436474104562
2021-08-29T00:00:00,1.0918494397088363
2021-09-05T00:00:00,1.9856949932476553
2021-09-12T00:00:00,1.0708152338620325
2021-09-19T00:00:00,0.5700855128269344
2021-09-26T00:00:00,2.686506525823984
2021-10-03T00:00:00,1.3165921106140788
2021-10-10T00:00:00,-0.8046781287484928
2021-10-17T00:00:00,1.820394503321321
2021-10-24T00:00:00,1.6529768889342433
2021-10-31T00:00:00,2.3074968233799176
2021-11-07T00:00:00,0.6299915670420209
2021-11-14T00:00:00,-0.603870712270449
2021-11-21T00:00:00,-3.364324738809543
2021-11-28T00:00:00,-4.420903954802258
2021-12-05T00:00:00,-7.331431417832723
2021-12-12T00:00:00,-9.006535947712424
2021-12-19T00:00:00,-10.634900082006137
2021-12-26T00:00:00,-12.031994554118464
2022-01-02T00:00:00,-8.267479814464862
2022-01-09T00:00:00,-3.296471382745225
2022-01-16T00:00:00,-0.1523616048755727
2022-01-23T00:00:00,3.703076010507589
2022-01-30T00:00:00,6.325053462740593
2022-02-06T00:00:00,4.214994116658266
