iyear,Attack Count,country_txt
1977,1,Turkey
1977,1,Turkey
1977,1,Turkey
1977,1,Turkey
1977,1,Turkey
1977,1,Turkey
1977,1,Turkey
1977,1,Turkey
1977,1,Turkey
1977,1,Turkey
1977,1,Turkey
1977,1,Turkey
1977,1,Turkey
1977,1,Turkey
1977,1,Turkey
1977,1,Turkey
1977,1,Turkey
1977,1,Turkey
1977,1,Turkey
1977,1,Turkey
1977,1,Turkey
1977,1,Turkey
1977,1,Turkey
1977,1,Turkey
1977,1,Turkey
1977,1,Turkey
1977,1,Turkey
1977,1,Turkey
1977,1,Turkey
1977,1,Turkey
1977,1,Turkey
1977,1,Turkey
1977,1,Turkey
1977,1,Turkey
1977,1,Turkey
1977,1,United Arab Emirates
1977,1,Lebanon
1977,1,North Yemen
1977,1,Israel
1977,1,Egypt
1977,1,Israel
1977,1,Turkey
1977,1,Turkey
1977,1,Turkey
1977,1,Turkey
1977,1,Lebanon
1977,1,Israel
1977,1,Iran
1977,1,Israel
1978,1,Turkey
1978,1,Turkey
1978,1,Turkey
1978,1,Turkey
1978,1,Turkey
1978,1,Turkey
1978,1,Turkey
1978,1,Turkey
1978,1,Turkey
1978,1,Israel
1978,1,Israel
1978,1,Turkey
1978,1,Turkey
1978,1,Lebanon
1978,1,Israel
1978,1,Turkey
1978,1,Turkey
1978,1,Turkey
1978,1,Algeria
1978,1,Turkey
1978,1,West Bank and Gaza Strip
1978,1,Western Sahara
1978,1,Turkey
1978,1,Turkey
1978,1,Turkey
1978,1,Iran
1978,1,Iran
1978,1,Turkey
1978,1,Turkey
1978,1,United Arab Emirates
1978,1,Israel
1978,1,Lebanon
1978,1,Kuwait
1978,1,Turkey
1978,1,Iran
1978,1,Turkey
1978,1,North Yemen
1978,1,Turkey
1978,1,Turkey
1978,1,Turkey
1978,1,Israel
1978,1,Israel
1978,1,Turkey
1978,1,Iran
1978,1,Lebanon
1978,1,Israel
1978,1,Iran
1978,1,Israel
1978,1,Turkey
1978,1,Turkey
1978,1,Israel
1978,1,West Bank and Gaza Strip
1978,1,Israel
1978,1,Turkey
1978,1,Israel
1978,1,Israel
1978,1,Iran
1978,1,Lebanon
1978,1,West Bank and Gaza Strip
1978,1,Israel
1978,1,Israel
1978,1,Israel
1978,1,Iran
1978,1,Israel
1978,1,Egypt
1978,1,Turkey
1978,1,Iran
1978,1,Egypt
1978,1,Turkey
1978,1,Turkey
1978,1,Turkey
