areaCode,areaName,areaType,date,newCasesBySpecimenDateRollingSum
E12000001,North East,region,2023-05-09,435
E12000001,North East,region,2023-05-08,431
E12000001,North East,region,2023-05-07,436
E12000001,North East,region,2023-05-06,435
E12000001,North East,region,2023-05-05,449
E12000001,North East,region,2023-05-04,448
E12000001,North East,region,2023-05-03,439
E12000001,North East,region,2023-05-02,439
E12000001,North East,region,2023-05-01,425
E12000001,North East,region,2023-04-30,450
E12000001,North East,region,2023-04-29,457
E12000001,North East,region,2023-04-28,452
E12000001,North East,region,2023-04-27,464
E12000001,North East,region,2023-04-26,487
E12000001,North East,region,2023-04-25,519
E12000001,North East,region,2023-04-24,550
E12000001,North East,region,2023-04-23,559
E12000001,North East,region,2023-04-22,566
E12000001,North East,region,2023-04-21,580
E12000001,North East,region,2023-04-20,595
E12000001,North East,region,2023-04-19,611
E12000001,North East,region,2023-04-18,658
E12000001,North East,region,2023-04-17,688
E12000001,North East,region,2023-04-16,692
E12000001,North East,region,2023-04-15,723
E12000001,North East,region,2023-04-14,744
E12000001,North East,region,2023-04-13,749
E12000001,North East,region,2023-04-12,760
E12000001,North East,region,2023-04-11,727
E12000001,North East,region,2023-04-10,740
E12000001,North East,region,2023-04-09,773
E12000001,North East,region,2023-04-08,806
E12000001,North East,region,2023-04-07,827
E12000001,North East,region,2023-04-06,891
E12000001,North East,region,2023-04-05,968
E12000001,North East,region,2023-04-04,1069
E12000001,North East,region,2023-04-03,1161
E12000001,North East,region,2023-04-02,1254
E12000001,North East,region,2023-04-01,1270
E12000001,North East,region,2023-03-31,1294
E12000001,North East,region,2023-03-30,1390
E12000001,North East,region,2023-03-29,1472
E12000001,North East,region,2023-03-28,1486
E12000001,North East,region,2023-03-27,1493
E12000001,North East,region,2023-03-26,1525
E12000001,North East,region,2023-03-25,1538
E12000001,North East,region,2023-03-24,1571
E12000001,North East,region,2023-03-23,1488
E12000001,North East,region,2023-03-22,1407
E12000001,North East,region,2023-03-21,1384
E12000001,North East,region,2023-03-20,1404
E12000001,North East,region,2023-03-19,1405
E12000001,North East,region,2023-03-18,1409
E12000001,North East,region,2023-03-17,1369
E12000001,North East,region,2023-03-16,1428
E12000001,North East,region,2023-03-15,1437
E12000001,North East,region,2023-03-14,1463
E12000001,North East,region,2023-03-13,1466
E12000001,North East,region,2023-03-12,1440
E12000001,North East,region,2023-03-11,1447
E12000001,North East,region,2023-03-10,1452
E12000001,North East,region,2023-03-09,1447
E12000001,North East,region,2023-03-08,1492
E12000001,North East,region,2023-03-07,1547
E12000001,North East,region,2023-03-06,1531
E12000001,North East,region,2023-03-05,1560
E12000001,North East,region,2023-03-04,1572
E12000001,North East,region,2023-03-03,1579
E12000001,North East,region,2023-03-02,1544
E12000001,North East,region,2023-03-01,1501
E12000001,North East,region,2023-02-28,1472
E12000001,North East,region,2023-02-27,1516
E12000001,North East,region,2023-02-26,1514
E12000001,North East,region,2023-02-25,1484
E12000001,North East,region,2023-02-24,1476
E12000001,North East,region,2023-02-23,1476
E12000001,North East,region,2023-02-22,1475
E12000001,North East,region,2023-02-21,1453
E12000001,North East,region,2023-02-20,1475
E12000001,North East,region,2023-02-19,1483
E12000001,North East,region,2023-02-18,1475
E12000001,North East,region,2023-02-17,1499
E12000001,North East,region,2023-02-16,1507
E12000001,North East,region,2023-02-15,1488
E12000001,North East,region,2023-02-14,1449
E12000001,North East,region,2023-02-13,1349
E12000001,North East,region,2023-02-12,1315
E12000001,North East,region,2023-02-11,1325
E12000001,North East,region,2023-02-10,1278
E12000001,North East,region,2023-02-09,1206
E12000001,North East,region,2023-02-08,1176
E12000001,North East,region,2023-02-07,1202
E12000001,North East,region,2023-02-06,1195
E12000001,North East,region,2023-02-05,1144
E12000001,North East,region,2023-02-04,1088
E12000001,North East,region,2023-02-03,1045
E12000001,North East,region,2023-02-02,1028
E12000001,North East,region,2023-02-01,990
E12000001,North East,region,2023-01-31,917
E12000001,North East,region,2023-01-30,853
E12000001,North East,region,2023-01-29,800
E12000001,North East,region,2023-01-28,786
E12000001,North East,region,2023-01-27,791
E12000001,North East,region,2023-01-26,762
E12000001,North East,region,2023-01-25,762
E12000001,North East,region,2023-01-24,727
E12000001,North East,region,2023-01-23,726
E12000001,North East,region,2023-01-22,720
E12000001,North East,region,2023-01-21,731
E12000001,North East,region,2023-01-20,730
E12000001,North East,region,2023-01-19,769
E12000001,North East,region,2023-01-18,792
E12000001,North East,region,2023-01-17,845
E12000001,North East,region,2023-01-16,876
