areaCode,areaName,areaType,date,newDeaths28DaysByDeathDate
E12000001,North East,region,2022-08-05,7
E12000001,North East,region,2022-08-04,9
E12000001,North East,region,2022-08-03,9
E12000001,North East,region,2022-08-02,9
E12000001,North East,region,2022-08-01,9
E12000001,North East,region,2022-07-31,8
E12000001,North East,region,2022-07-30,2
E12000001,North East,region,2022-07-29,7
E12000001,North East,region,2022-07-28,9
E12000001,North East,region,2022-07-27,7
E12000001,North East,region,2022-07-26,3
E12000001,North East,region,2022-07-25,9
E12000001,North East,region,2022-07-24,12
E12000001,North East,region,2022-07-23,11
E12000001,North East,region,2022-07-22,9
E12000001,North East,region,2022-07-21,12
E12000001,North East,region,2022-07-20,14
E12000001,North East,region,2022-07-19,11
E12000001,North East,region,2022-07-18,5
E12000001,North East,region,2022-07-17,11
E12000001,North East,region,2022-07-16,4
E12000001,North East,region,2022-07-15,8
E12000001,North East,region,2022-07-14,5
E12000001,North East,region,2022-07-13,10
E12000001,North East,region,2022-07-12,7
E12000001,North East,region,2022-07-11,9
E12000001,North East,region,2022-07-10,4
E12000001,North East,region,2022-07-09,8
E12000001,North East,region,2022-07-08,4
E12000001,North East,region,2022-07-07,6
E12000001,North East,region,2022-07-06,8
E12000001,North East,region,2022-07-05,6
E12000001,North East,region,2022-07-04,5
E12000001,North East,region,2022-07-03,4
E12000001,North East,region,2022-07-02,5
E12000001,North East,region,2022-07-01,4
E12000001,North East,region,2022-06-30,5
E12000001,North East,region,2022-06-29,5
E12000001,North East,region,2022-06-28,7
E12000001,North East,region,2022-06-27,4
E12000001,North East,region,2022-06-26,2
E12000001,North East,region,2022-06-25,5
E12000001,North East,region,2022-06-24,1
E12000001,North East,region,2022-06-23,7
E12000001,North East,region,2022-06-22,3
E12000001,North East,region,2022-06-21,6
E12000001,North East,region,2022-06-20,5
E12000001,North East,region,2022-06-19,2
E12000001,North East,region,2022-06-18,5
E12000001,North East,region,2022-06-17,4
E12000001,North East,region,2022-06-16,5
E12000001,North East,region,2022-06-15,2
E12000001,North East,region,2022-06-14,1
E12000001,North East,region,2022-06-13,3
E12000001,North East,region,2022-06-12,2
E12000001,North East,region,2022-06-11,2
E12000001,North East,region,2022-06-10,5
E12000001,North East,region,2022-06-09,4
E12000001,North East,region,2022-06-08,3
E12000001,North East,region,2022-06-07,5
E12000001,North East,region,2022-06-06,3
E12000001,North East,region,2022-06-05,2
E12000001,North East,region,2022-06-04,4
E12000001,North East,region,2022-06-03,3
E12000001,North East,region,2022-06-02,1
E12000001,North East,region,2022-06-01,5
E12000001,North East,region,2022-05-31,1
E12000001,North East,region,2022-05-30,4
E12000001,North East,region,2022-05-29,5
E12000001,North East,region,2022-05-28,3
E12000001,North East,region,2022-05-27,2
E12000001,North East,region,2022-05-26,5
E12000001,North East,region,2022-05-25,1
E12000001,North East,region,2022-05-24,4
E12000001,North East,region,2022-05-23,2
E12000001,North East,region,2022-05-22,3
E12000001,North East,region,2022-05-21,5
E12000001,North East,region,2022-05-20,7
E12000001,North East,region,2022-05-19,4
E12000001,North East,region,2022-05-18,4
E12000001,North East,region,2022-05-17,4
E12000001,North East,region,2022-05-16,4
E12000001,North East,region,2022-05-15,7
E12000001,North East,region,2022-05-14,5
E12000001,North East,region,2022-05-13,5
E12000001,North East,region,2022-05-12,6
E12000001,North East,region,2022-05-11,8
E12000001,North East,region,2022-05-10,3
E12000001,North East,region,2022-05-09,8
E12000001,North East,region,2022-05-08,7
E12000001,North East,region,2022-05-07,6
E12000001,North East,region,2022-05-06,7
E12000001,North East,region,2022-05-05,10
E12000001,North East,region,2022-05-04,9
E12000001,North East,region,2022-05-03,8
E12000001,North East,region,2022-05-02,7
E12000001,North East,region,2022-05-01,4
E12000001,North East,region,2022-04-30,5
E12000001,North East,region,2022-04-29,7
E12000001,North East,region,2022-04-28,12
E12000001,North East,region,2022-04-27,12
E12000001,North East,region,2022-04-26,13
E12000001,North East,region,2022-04-25,9
E12000001,North East,region,2022-04-24,3
E12000001,North East,region,2022-04-23,12
E12000001,North East,region,2022-04-22,7
E12000001,North East,region,2022-04-21,12
E12000001,North East,region,2022-04-20,8
E12000001,North East,region,2022-04-19,6
E12000001,North East,region,2022-04-18,9
E12000001,North East,region,2022-04-17,13
E12000001,North East,region,2022-04-16,19
E12000001,North East,region,2022-04-15,13
E12000001,North East,region,2022-04-14,12
E12000001,North East,region,2022-04-13,12
E12000001,North East,region,2022-04-12,8
E12000001,North East,region,2022-04-11,14
E12000001,North East,region,2022-04-10,8
E12000001,North East,region,2022-04-09,12
E12000001,North East,region,2022-04-08,17
E12000001,North East,region,2022-04-07,7
E12000001,North East,region,2022-04-06,11
E12000001,North East,region,2022-04-05,23
E12000001,North East,region,2022-04-04,12
E12000001,North East,region,2022-04-03,13
E12000001,North East,region,2022-04-02,11
E12000001,North East,region,2022-04-01,14
E12000001,North East,region,2022-03-31,10
E12000001,North East,region,2022-03-30,10
E12000001,North East,region,2022-03-29,11
E12000001,North East,region,2022-03-28,7
E12000001,North East,region,2022-03-27,10
E12000001,North East,region,2022-03-26,9
E12000001,North East,region,2022-03-25,9
E12000001,North East,region,2022-03-24,9
E12000001,North East,region,2022-03-23,6
E12000001,North East,region,2022-03-22,14
E12000001,North East,region,2022-03-21,5
E12000001,North East,region,2022-03-20,3
E12000001,North East,region,2022-03-19,4
E12000001,North East,region,2022-03-18,5
E12000001,North East,region,2022-03-17,3
