date,Date,CDID,Value,series
2004 SEP,2004-09-15,WUMA,-.07,Food
2004 SEP,2004-09-15,WUMB,.1,AlcoholTobacco
2004 SEP,2004-09-15,WUMC,-.37,ClothingFootwear
2004 SEP,2004-09-15,WUMD,.39,HousingHouseService
2004 SEP,2004-09-15,WUMP,-.04,FurnitureHousehold
2004 SEP,2004-09-15,WUMQ,.03,Health
2004 SEP,2004-09-15,WUMW,.5,Transport
2004 SEP,2004-09-15,WUMX,-.07,Communication
2004 SEP,2004-09-15,WUNC,-.16,RecreationCulture
2004 SEP,2004-09-15,WUND,.08,Education
2004 SEP,2004-09-15,WUNE,.37,RestaurantsHotels
2004 SEP,2004-09-15,WUNG,.32,Misc
2005 APR,2005-04-15,WUMA,.11,Food
2005 APR,2005-04-15,WUMB,.1,AlcoholTobacco
2005 APR,2005-04-15,WUMC,-.34,ClothingFootwear
2005 APR,2005-04-15,WUMD,.67,HousingHouseService
2005 APR,2005-04-15,WUMP,-.04,FurnitureHousehold
2005 APR,2005-04-15,WUMQ,.06,Health
2005 APR,2005-04-15,WUMW,.57,Transport
2005 APR,2005-04-15,WUMX,-.09,Communication
2005 APR,2005-04-15,WUNC,-.09,RecreationCulture
2005 APR,2005-04-15,WUND,.08,Education
2005 APR,2005-04-15,WUNE,.45,RestaurantsHotels
2005 APR,2005-04-15,WUNG,.46,Misc
2005 AUG,2005-08-15,WUMA,.23,Food
2005 AUG,2005-08-15,WUMB,.08,AlcoholTobacco
2005 AUG,2005-08-15,WUMC,-.29,ClothingFootwear
2005 AUG,2005-08-15,WUMD,.66,HousingHouseService
2005 AUG,2005-08-15,WUMP,.05,FurnitureHousehold
2005 AUG,2005-08-15,WUMQ,.09,Health
2005 AUG,2005-08-15,WUMW,.83,Transport
2005 AUG,2005-08-15,WUMX,-.05,Communication
2005 AUG,2005-08-15,WUNC,-.3,RecreationCulture
2005 AUG,2005-08-15,WUND,.08,Education
2005 AUG,2005-08-15,WUNE,.49,RestaurantsHotels
2005 AUG,2005-08-15,WUNG,.55,Misc
2005 DEC,2005-12-15,WUMA,.18,Food
