Year,GDP,Country
2007,627.7465944,Myanmar
2008,687.8132788,Myanmar
2009,755.4774159,Myanmar
2010,826.322055,Myanmar
2011,865.671311,Myanmar
2012,921.2485971,Myanmar
2013,989.9094009,Myanmar
2014,1059.212652,Myanmar
2015,1122.912315,Myanmar
2016,1175.783746,Myanmar
