,date,band,value,value_%
347,2017/12,760+,256.3,56.766334440753056
348,2018/03,760+,248.7,58.12241463927646
349,2018/06,760+,254.7,58.222466054039224
350,2018/09,760+,253.6,56.95548668193864
351,2018/12,760+,232.3,57.86091461592109
352,2019/03,760+,193.7,56.30486599616301
353,2019/06,760+,279.8,59.02330977744964
354,2019/09,760+,321.9,60.93705631803124
355,2019/12,760+,478.6,63.646156096652795
356,2020/03,760+,425.3,64.27675427327823
357,2020/06,760+,588.3,69.50532247964935
358,2020/09,760+,754.3,71.88944484155348
359,2020/12,760+,838.0,71.34586568587386
360,2003/03,TOTAL ,969.0,969.0
361,2003/06,TOTAL ,1014.6,1014.6
362,2003/09,TOTAL ,1063.7,1063.7
363,2003/12,TOTAL ,1028.1,1028.1
364,2004/03,TOTAL ,656.8,656.8
365,2004/06,TOTAL ,710.9,710.9
366,2004/09,TOTAL ,786.8,786.8
367,2004/12,TOTAL ,671.4,671.4
368,2005/03,TOTAL ,659.2,659.2
369,2005/06,TOTAL ,632.5,632.5
370,2005/09,TOTAL ,761.9,761.9
371,2005/12,TOTAL ,800.0,800.0
372,2006/03,TOTAL ,675.3,675.3
373,2006/06,TOTAL ,729.0,729.0
374,2006/09,TOTAL ,719.9,719.9
375,2006/12,TOTAL ,641.9,641.9
376,2007/03,TOTAL ,751.7,751.7
377,2007/06,TOTAL ,648.1,648.1
378,2007/09,TOTAL ,701.9,701.9
379,2007/12,TOTAL ,514.6,514.6
380,2008/03,TOTAL ,453.2,453.2
381,2008/06,TOTAL ,557.9,557.9
382,2008/09,TOTAL ,393.8,393.8
383,2008/12,TOTAL ,302.0,302.0
384,2009/03,TOTAL ,397.6,397.6
385,2009/06,TOTAL ,516.2,516.2
386,2009/09,TOTAL ,511.3,511.3
387,2009/12,TOTAL ,392.7,392.7
388,2010/03,TOTAL ,379.5,379.5
389,2010/06,TOTAL ,365.8,365.8
390,2010/09,TOTAL ,389.1,389.1
391,2010/12,TOTAL ,463.0,463.0
392,2011/03,TOTAL ,497.2,497.2
393,2011/06,TOTAL ,351.9,351.9
394,2011/09,TOTAL ,292.3,292.3
395,2011/12,TOTAL ,404.1,404.1
396,2012/03,TOTAL ,411.8,411.8
397,2012/06,TOTAL ,461.8,461.8
398,2012/09,TOTAL ,520.6,520.6
399,2012/12,TOTAL ,552.8,552.8
400,2013/03,TOTAL ,576.8,576.8
401,2013/06,TOTAL ,578.9,578.9
402,2013/09,TOTAL ,548.8,548.8
403,2013/12,TOTAL ,451.4,451.4
404,2014/03,TOTAL ,331.9,331.9
405,2014/06,TOTAL ,285.7,285.7
406,2014/09,TOTAL ,337.0,337.0
407,2014/12,TOTAL ,354.2,354.2
408,2015/03,TOTAL ,368.5,368.5
409,2015/06,TOTAL ,465.7,465.7
410,2015/09,TOTAL ,489.1,489.1
411,2015/12,TOTAL ,436.9,436.9
412,2016/03,TOTAL ,388.6,388.6
413,2016/06,TOTAL ,426.57,426.57
414,2016/09,TOTAL ,477.06,477.06
415,2016/12,TOTAL ,616.79,616.79
416,2017/03,TOTAL ,491.37,491.37
417,2017/06,TOTAL ,421.45,421.45
418,2017/09,TOTAL ,479.35,479.35
419,2017/12,TOTAL ,451.5,451.5
420,2018/03,TOTAL ,427.89,427.89
421,2018/06,TOTAL ,437.46,437.46
422,2018/09,TOTAL ,445.26,445.26
423,2018/12,TOTAL ,401.48,401.48
424,2019/03,TOTAL ,344.02,344.02
425,2019/06,TOTAL ,474.05,474.05
426,2019/09,TOTAL ,528.25,528.25
427,2019/12,TOTAL ,751.97,751.97
428,2020/03,TOTAL ,661.67,661.67
429,2020/06,TOTAL ,846.41,846.41
430,2020/09,TOTAL ,1049.25,1049.25
431,2020/12,TOTAL ,1174.56,1174.56
