dt,Lower48
2016-01-29T00:00:00,20.840197693574968
2016-02-05T00:00:00,26.27865961199294
2016-02-12T00:00:00,25.162187210379972
2016-02-19T00:00:00,33.33333333333333
2016-02-26T00:00:00,48.39087185488591
2016-03-04T00:00:00,64.06353408338848
2016-03-11T00:00:00,68.80108991825612
2016-03-18T00:00:00,68.55983772819472
2016-03-25T00:00:00,68.92539356605066
2016-04-01T00:00:00,68.02168021680217
2016-04-08T00:00:00,60.948667966211836
2016-04-15T00:00:00,52.579852579852584
2016-04-22T00:00:00,49.444769140853296
2016-04-29T00:00:00,47.058823529411775
2016-05-06T00:00:00,41.328413284132836
2016-05-13T00:00:00,38.46153846153846
2016-05-20T00:00:00,34.45978105663969
2016-05-27T00:00:00,30.18360949395431
2016-06-03T00:00:00,26.791808873720147
2016-06-10T00:00:00,24.98972461981093
2016-06-17T00:00:00,23.822825219473252
2016-06-24T00:00:00,21.752617293524622
2016-07-01T00:00:00,19.242310577644407
2016-07-08T00:00:00,17.32995658465992
2016-07-15T00:00:00,16.082182075805875
2016-07-22T00:00:00,14.69359331476323
2016-07-29T00:00:00,12.989690721649483
2016-08-05T00:00:00,11.495798319327722
2016-08-12T00:00:00,10.307234886025762
2016-08-19T00:00:00,8.274078862314148
2016-08-26T00:00:00,6.614420062695925
2016-09-02T00:00:00,5.364806866952798
2016-09-09T00:00:00,4.886091127098324
2016-09-16T00:00:00,3.1967451322290064
2016-09-23T00:00:00,1.781170483460559
2016-09-30T00:00:00,1.2658227848101333
2016-10-07T00:00:00,0.7504690431519689
2016-10-14T00:00:00,0.6031995803829071
2016-10-21T00:00:00,0.8774193548387155
2016-10-28T00:00:00,0.8140422284405924
2016-11-04T00:00:00,0.8030112923463006
2016-11-11T00:00:00,1.1749999999999927
2016-11-18T00:00:00,0.8979795460214435
2016-11-25T00:00:00,0.9858442871587547
2016-12-02T00:00:00,1.8814432989690655
2016-12-09T00:00:00,-1.0400416016640657
2016-12-16T00:00:00,-5.689564761405352
2016-12-23T00:00:00,-10.543130990415339
2016-12-30T00:00:00,-9.113368103211638
2017-01-06T00:00:00,-9.064748201438844
2017-01-13T00:00:00,-11.52562936002427
2017-01-20T00:00:00,-9.332469215813354
2017-01-27T00:00:00,-7.600545330606678
2017-02-03T00:00:00,-10.649441340782118
2017-02-10T00:00:00,-9.477971121806739
2017-02-17T00:00:00,-8.823529411764708
2017-02-24T00:00:00,-6.821766561514197
2017-03-03T00:00:00,-7.422347720855182
2017-03-10T00:00:00,-9.523809523809524
2017-03-17T00:00:00,-16.085038106698757
2017-03-24T00:00:00,-16.977309562398702
2017-03-31T00:00:00,-17.298387096774192
2017-04-07T00:00:00,-16.794509487283005
2017-04-14T00:00:00,-14.855072463768115
2017-04-21T00:00:00,-14.391865467344545
2017-04-28T00:00:00,-14.057142857142857
2017-05-05T00:00:00,-14.17381574039538
2017-05-12T00:00:00,-13.979665940450259
2017-05-19T00:00:00,-13.486725663716815
2017-05-26T00:00:00,-13.140694874441007
2017-06-02T00:00:00,-11.473755047106327
2017-06-09T00:00:00,-10.917461361394276
2017-06-16T00:00:00,-10.731550112794075
2017-06-23T00:00:00,-10.318471337579616
2017-06-30T00:00:00,-9.468386284995278
2017-07-07T00:00:00,-9.466543324082643
2017-07-14T00:00:00,-9.581934696368632
2017-07-21T00:00:00,-9.532483302975104
2017-07-28T00:00:00,-8.78953771289538
2017-08-04T00:00:00,-8.682544467892672
2017-08-11T00:00:00,-7.696915244085057
2017-08-18T00:00:00,-6.716417910447758
2017-08-25T00:00:00,-7.233166715671857
2017-09-01T00:00:00,-6.313645621181263
2017-09-08T00:00:00,-5.372963703915401
2017-09-15T00:00:00,-4.0270346381301
2017-09-22T00:00:00,-3.7222222222222268
2017-09-29T00:00:00,-4.673913043478262
2017-10-06T00:00:00,-4.362862463421124
2017-10-13T00:00:00,-4.9791449426485945
2017-10-20T00:00:00,-5.0908160654899
2017-10-27T00:00:00,-4.74388089830936
2017-11-03T00:00:00,-5.650983320886239
2017-11-10T00:00:00,-6.795156906350385
2017-11-17T00:00:00,-7.886279357231151
2017-11-24T00:00:00,-7.559449311639554
2017-12-01T00:00:00,-6.526688590943586
2017-12-08T00:00:00,-4.7293746715712075
2017-12-15T00:00:00,-4.253544620517102
2017-12-22T00:00:00,-0.8333333333333304
2017-12-29T00:00:00,-5.587435819993958
2018-01-05T00:00:00,-12.436708860759493
2018-01-12T00:00:00,-11.415838189921157
2018-01-19T00:00:00,-17.94138670478913
2018-01-26T00:00:00,-18.959793434157135
2018-02-02T00:00:00,-18.796404845642833
2018-02-09T00:00:00,-22.94478527607362
2018-02-16T00:00:00,-25.297113752122236
2018-02-23T00:00:00,-28.819297503173935
2018-03-02T00:00:00,-29.19389978213508
2018-03-09T00:00:00,-31.668153434433542
2018-03-16T00:00:00,-30.87954110898662
2018-03-23T00:00:00,-32.50366032210834
2018-03-30T00:00:00,-33.98342272062409
2018-04-06T00:00:00,-35.22561863173217
2018-04-13T00:00:00,-38.58156028368794
2018-04-20T00:00:00,-41.48012791228871
2018-04-27T00:00:00,-40.46985815602837
2018-05-04T00:00:00,-37.76618861364624
2018-05-11T00:00:00,-35.07809202195019
2018-05-18T00:00:00,-33.346972176759415
2018-05-25T00:00:00,-31.68316831683168
2018-06-01T00:00:00,-30.938806537438236
2018-06-08T00:00:00,-29.383536360280548
2018-06-15T00:00:00,-27.509025270758126
2018-06-22T00:00:00,-26.349431818181824
2018-06-29T00:00:00,-25.225851285615008
2018-07-06T00:00:00,-24.965940054495917
2018-07-13T00:00:00,-24.130948363145464
2018-07-20T00:00:00,-23.75838926174496
2018-07-27T00:00:00,-23.14104701567189
2018-08-03T00:00:00,-22.3175965665236
2018-08-10T00:00:00,-22.582738481505515
2018-08-17T00:00:00,-22.08
2018-08-24T00:00:00,-20.63391442155309
2018-08-31T00:00:00,-20.27950310559006
2018-09-07T00:00:00,-20.386590154032014
2018-09-14T00:00:00,-20.129107981220663
2018-09-21T00:00:00,-20.138488170802084
2018-09-28T00:00:00,-18.301026225769668
2018-10-05T00:00:00,-17.774687065368568
2018-10-12T00:00:00,-16.6803840877915
2018-10-19T00:00:00,-16.57681940700808
2018-10-26T00:00:00,-16.741721854304636
2018-11-02T00:00:00,-15.35620052770449
2018-11-09T00:00:00,-13.918345705196177
2018-11-16T00:00:00,-16.45195920558239
2018-11-23T00:00:00,-17.303005686433792
2018-11-30T00:00:00,-19.05277401894452
2018-12-07T00:00:00,-19.635962493105353
2018-12-14T00:00:00,-19.48315911730546
2018-12-21T00:00:00,-18.217286914765907
2018-12-28T00:00:00,-13.467690339091487
2019-01-04T00:00:00,-5.529454282616553
2019-01-11T00:00:00,-1.9736842105263164
2019-01-18T00:00:00,3.2229965156794327
2019-01-25T00:00:00,0.0
2019-02-01T00:00:00,-5.678537054860444
2019-02-08T00:00:00,-0.10615711252653925
2019-02-15T00:00:00,-3.125
2019-02-22T00:00:00,-8.501783590963141
2019-03-01T00:00:00,-14.46153846153846
2019-03-08T00:00:00,-22.32375979112271
2019-03-15T00:00:00,-20.954356846473033
2019-03-22T00:00:00,-19.95661605206074
2019-03-29T00:00:00,-16.543574593796162
2019-04-05T00:00:00,-13.48314606741573
2019-04-12T00:00:00,-4.00307929176289
2019-04-19T00:00:00,4.527712724434041
2019-04-26T00:00:00,8.860759493670889
2019-05-03T00:00:00,8.030726256983245
2019-05-10T00:00:00,7.477243172951886
2019-05-17T00:00:00,7.612031921424189
2019-05-24T00:00:00,8.231884057971017
2019-05-31T00:00:00,9.30104567969181
2019-06-07T00:00:00,9.147935180345002
2019-06-14T00:00:00,9.711155378486058
2019-06-21T00:00:00,10.94503375120539
2019-06-28T00:00:00,11.05947955390334
2019-07-05T00:00:00,12.165229232864272
2019-07-12T00:00:00,12.677935943060504
2019-07-19T00:00:00,13.07218309859155
2019-07-26T00:00:00,14.273318872017349
2019-08-02T00:00:00,14.279643008924769
2019-08-09T00:00:00,14.752724224643753
2019-08-16T00:00:00,14.8665297741273
2019-08-23T00:00:00,14.097444089456879
2019-08-30T00:00:00,14.569536423841068
2019-09-06T00:00:00,14.52959028831562
2019-09-13T00:00:00,13.997060984570165
2019-09-20T00:00:00,15.78757225433527
2019-09-27T00:00:00,15.736217725052338
2019-10-04T00:00:00,15.527740189445204
2019-10-11T00:00:00,15.87092525518603
2019-10-18T00:00:00,16.510500807754447
2019-10-25T00:00:00,17.562838052815778
2019-11-01T00:00:00,16.24064837905237
2019-11-08T00:00:00,14.93686479827534
2019-11-15T00:00:00,16.8647606810151
2019-11-22T00:00:00,18.205631958087753
2019-11-29T00:00:00,20.060180541624884
2019-12-06T00:00:00,20.727522306108437
2019-12-13T00:00:00,23.00757302560403
2019-12-20T00:00:00,19.266055045871553
2019-12-27T00:00:00,18.00369685767098
2020-01-03T00:00:00,20.428462127008416
2020-01-10T00:00:00,19.976312672720088
2020-01-17T00:00:00,24.345991561181425
2020-01-24T00:00:00,24.988620846609024
2020-01-31T00:00:00,33.11224489795919
