areaCode,areaName,areaType,date,uniqueCasePositivityBySpecimenDateRollingSum
E12000001,North East,region,2023-03-18,11.2
E12000001,North East,region,2023-03-17,10.9
E12000001,North East,region,2023-03-16,11.8
E12000001,North East,region,2023-03-15,11.8
E12000001,North East,region,2023-03-14,11.8
E12000001,North East,region,2023-03-13,11.7
E12000001,North East,region,2023-03-12,11.2
E12000001,North East,region,2023-03-11,11.3
E12000001,North East,region,2023-03-10,11.5
E12000001,North East,region,2023-03-09,11.6
E12000001,North East,region,2023-03-08,11.9
E12000001,North East,region,2023-03-07,12.9
E12000001,North East,region,2023-03-06,12.9
E12000001,North East,region,2023-03-05,13.1
E12000001,North East,region,2023-03-04,13.4
E12000001,North East,region,2023-03-03,13.4
E12000001,North East,region,2023-03-02,13.4
E12000001,North East,region,2023-03-01,13.5
E12000001,North East,region,2023-02-28,13.5
E12000001,North East,region,2023-02-27,13.6
E12000001,North East,region,2023-02-26,13.5
E12000001,North East,region,2023-02-25,13.6
E12000001,North East,region,2023-02-24,13.3
E12000001,North East,region,2023-02-23,13.1
E12000001,North East,region,2023-02-22,13.4
E12000001,North East,region,2023-02-21,13.0
E12000001,North East,region,2023-02-20,13.8
E12000001,North East,region,2023-02-19,12.9
E12000001,North East,region,2023-02-18,12.7
E12000001,North East,region,2023-02-17,13.3
E12000001,North East,region,2023-02-16,13.2
E12000001,North East,region,2023-02-15,13.1
E12000001,North East,region,2023-02-14,13.1
E12000001,North East,region,2023-02-13,12.4
E12000001,North East,region,2023-02-12,12.3
E12000001,North East,region,2023-02-11,12.4
E12000001,North East,region,2023-02-10,11.8
E12000001,North East,region,2023-02-09,11.6
E12000001,North East,region,2023-02-08,11.1
E12000001,North East,region,2023-02-07,11.7
E12000001,North East,region,2023-02-06,11.6
E12000001,North East,region,2023-02-05,10.7
E12000001,North East,region,2023-02-04,10.3
E12000001,North East,region,2023-02-03,10.3
E12000001,North East,region,2023-02-02,10.5
E12000001,North East,region,2023-02-01,10.3
E12000001,North East,region,2023-01-31,9.6
E12000001,North East,region,2023-01-30,8.8
E12000001,North East,region,2023-01-29,8.3
E12000001,North East,region,2023-01-28,8.2
E12000001,North East,region,2023-01-27,8.2
E12000001,North East,region,2023-01-26,8.2
E12000001,North East,region,2023-01-25,8.2
E12000001,North East,region,2023-01-24,7.9
E12000001,North East,region,2023-01-23,8.2
E12000001,North East,region,2023-01-22,8.0
E12000001,North East,region,2023-01-21,7.9
E12000001,North East,region,2023-01-20,8.1
E12000001,North East,region,2023-01-19,7.7
E12000001,North East,region,2023-01-18,7.5
E12000001,North East,region,2023-01-17,7.7
E12000001,North East,region,2023-01-16,7.4
E12000001,North East,region,2023-01-15,7.2
E12000001,North East,region,2023-01-14,7.2
E12000001,North East,region,2023-01-13,7.2
E12000001,North East,region,2023-01-12,7.8
E12000001,North East,region,2023-01-11,7.9
E12000001,North East,region,2023-01-10,8.1
E12000001,North East,region,2023-01-09,8.4
E12000001,North East,region,2023-01-08,8.8
E12000001,North East,region,2023-01-07,8.7
E12000001,North East,region,2023-01-06,8.7
E12000001,North East,region,2023-01-05,8.7
E12000001,North East,region,2023-01-04,9.5
E12000001,North East,region,2023-01-03,9.8
E12000001,North East,region,2023-01-02,9.7
E12000001,North East,region,2023-01-01,9.7
E12000001,North East,region,2022-12-31,9.7
E12000001,North East,region,2022-12-30,10.0
E12000001,North East,region,2022-12-29,9.7
E12000001,North East,region,2022-12-28,8.9
E12000001,North East,region,2022-12-27,9.6
E12000001,North East,region,2022-12-26,9.2
E12000001,North East,region,2022-12-25,9.1
E12000001,North East,region,2022-12-24,9.3
E12000001,North East,region,2022-12-23,9.3
E12000001,North East,region,2022-12-22,9.8
E12000001,North East,region,2022-12-21,9.9
E12000001,North East,region,2022-12-20,9.8
E12000001,North East,region,2022-12-19,9.3
E12000001,North East,region,2022-12-18,9.1
E12000001,North East,region,2022-12-17,9.0
E12000001,North East,region,2022-12-16,8.9
E12000001,North East,region,2022-12-15,8.2
E12000001,North East,region,2022-12-14,8.0
E12000001,North East,region,2022-12-13,7.5
E12000001,North East,region,2022-12-12,7.4
E12000001,North East,region,2022-12-11,7.7
E12000001,North East,region,2022-12-10,7.8
E12000001,North East,region,2022-12-09,7.6
E12000001,North East,region,2022-12-08,7.9
E12000001,North East,region,2022-12-07,8.2
E12000001,North East,region,2022-12-06,8.1
E12000001,North East,region,2022-12-05,8.1
E12000001,North East,region,2022-12-04,7.6
E12000001,North East,region,2022-12-03,7.6
E12000001,North East,region,2022-12-02,7.7
E12000001,North East,region,2022-12-01,7.7
E12000001,North East,region,2022-11-30,7.1
E12000001,North East,region,2022-11-29,7.0
E12000001,North East,region,2022-11-28,7.3
E12000001,North East,region,2022-11-27,6.8
E12000001,North East,region,2022-11-26,6.5
E12000001,North East,region,2022-11-25,6.7
E12000001,North East,region,2022-11-24,6.8
E12000001,North East,region,2022-11-23,6.7
E12000001,North East,region,2022-11-22,6.9
E12000001,North East,region,2022-11-21,6.4
E12000001,North East,region,2022-11-20,6.0
E12000001,North East,region,2022-11-19,6.2
E12000001,North East,region,2022-11-18,6.4
E12000001,North East,region,2022-11-17,6.4
E12000001,North East,region,2022-11-16,6.2
E12000001,North East,region,2022-11-15,6.2
E12000001,North East,region,2022-11-14,6.3
E12000001,North East,region,2022-11-13,6.4
E12000001,North East,region,2022-11-12,6.5
E12000001,North East,region,2022-11-11,6.5
E12000001,North East,region,2022-11-10,6.5
E12000001,North East,region,2022-11-09,6.5
E12000001,North East,region,2022-11-08,6.9
E12000001,North East,region,2022-11-07,7.0
E12000001,North East,region,2022-11-06,7.7
E12000001,North East,region,2022-11-05,7.8
E12000001,North East,region,2022-11-04,7.9
E12000001,North East,region,2022-11-03,8.1
E12000001,North East,region,2022-11-02,8.4
E12000001,North East,region,2022-11-01,9.0
E12000001,North East,region,2022-10-31,9.4
E12000001,North East,region,2022-10-30,8.7
E12000001,North East,region,2022-10-29,9.2
E12000001,North East,region,2022-10-28,9.2
E12000001,North East,region,2022-10-27,9.2
E12000001,North East,region,2022-10-26,9.5
E12000001,North East,region,2022-10-25,9.2
E12000001,North East,region,2022-10-24,9.0
E12000001,North East,region,2022-10-23,9.0
E12000001,North East,region,2022-10-22,9.0
E12000001,North East,region,2022-10-21,8.9
E12000001,North East,region,2022-10-20,8.9
E12000001,North East,region,2022-10-19,8.9
E12000001,North East,region,2022-10-18,9.0
E12000001,North East,region,2022-10-17,9.6
E12000001,North East,region,2022-10-16,9.4
E12000001,North East,region,2022-10-15,9.4
E12000001,North East,region,2022-10-14,9.7
E12000001,North East,region,2022-10-13,9.7
E12000001,North East,region,2022-10-12,9.7
E12000001,North East,region,2022-10-11,10.0
E12000001,North East,region,2022-10-10,9.9
E12000001,North East,region,2022-10-09,10.2
E12000001,North East,region,2022-10-08,10.2
E12000001,North East,region,2022-10-07,10.2
E12000001,North East,region,2022-10-06,10.8
E12000001,North East,region,2022-10-05,11.2
E12000001,North East,region,2022-10-04,11.3
E12000001,North East,region,2022-10-03,11.3
E12000001,North East,region,2022-10-02,10.2
E12000001,North East,region,2022-10-01,10.0
E12000001,North East,region,2022-09-30,10.2
E12000001,North East,region,2022-09-29,9.9
E12000001,North East,region,2022-09-28,10.0
E12000001,North East,region,2022-09-27,9.4
E12000001,North East,region,2022-09-26,9.0
E12000001,North East,region,2022-09-25,9.0
E12000001,North East,region,2022-09-24,8.9
E12000001,North East,region,2022-09-23,8.2
E12000001,North East,region,2022-09-22,7.5
E12000001,North East,region,2022-09-21,7.0
E12000001,North East,region,2022-09-20,7.2
E12000001,North East,region,2022-09-19,6.8
E12000001,North East,region,2022-09-18,6.6
E12000001,North East,region,2022-09-17,6.5
E12000001,North East,region,2022-09-16,6.5
E12000001,North East,region,2022-09-15,6.4
E12000001,North East,region,2022-09-14,6.5
