areaCode,areaName,areaType,date,newDeaths28DaysByPublishDate
E12000001,North East,region,2022-07-23,0
E12000001,North East,region,2022-07-22,0
E12000001,North East,region,2022-07-21,0
E12000001,North East,region,2022-07-20,60
E12000001,North East,region,2022-07-19,0
E12000001,North East,region,2022-07-18,0
E12000001,North East,region,2022-07-17,0
E12000001,North East,region,2022-07-16,0
E12000001,North East,region,2022-07-15,0
E12000001,North East,region,2022-07-14,0
E12000001,North East,region,2022-07-13,31
E12000001,North East,region,2022-07-12,0
E12000001,North East,region,2022-07-11,0
E12000001,North East,region,2022-07-10,0
E12000001,North East,region,2022-07-09,0
E12000001,North East,region,2022-07-08,0
E12000001,North East,region,2022-07-07,0
E12000001,North East,region,2022-07-06,18
E12000001,North East,region,2022-07-05,0
E12000001,North East,region,2022-07-04,0
E12000001,North East,region,2022-07-03,0
E12000001,North East,region,2022-07-02,0
E12000001,North East,region,2022-07-01,4
E12000001,North East,region,2022-06-30,5
E12000001,North East,region,2022-06-29,4
E12000001,North East,region,2022-06-28,7
E12000001,North East,region,2022-06-27,5
E12000001,North East,region,2022-06-26,0
E12000001,North East,region,2022-06-25,0
E12000001,North East,region,2022-06-24,4
E12000001,North East,region,2022-06-23,7
E12000001,North East,region,2022-06-22,8
E12000001,North East,region,2022-06-21,9
E12000001,North East,region,2022-06-20,4
E12000001,North East,region,2022-06-19,0
E12000001,North East,region,2022-06-18,0
E12000001,North East,region,2022-06-17,4
E12000001,North East,region,2022-06-16,2
E12000001,North East,region,2022-06-15,3
E12000001,North East,region,2022-06-14,6
E12000001,North East,region,2022-06-13,7
E12000001,North East,region,2022-06-12,0
E12000001,North East,region,2022-06-11,0
E12000001,North East,region,2022-06-10,7
E12000001,North East,region,2022-06-09,6
E12000001,North East,region,2022-06-08,4
E12000001,North East,region,2022-06-07,9
E12000001,North East,region,2022-06-06,0
E12000001,North East,region,2022-06-05,0
E12000001,North East,region,2022-06-04,0
E12000001,North East,region,2022-06-03,0
E12000001,North East,region,2022-06-02,0
E12000001,North East,region,2022-06-01,4
E12000001,North East,region,2022-05-31,9
E12000001,North East,region,2022-05-30,3
E12000001,North East,region,2022-05-29,0
E12000001,North East,region,2022-05-28,0
E12000001,North East,region,2022-05-27,3
E12000001,North East,region,2022-05-26,4
E12000001,North East,region,2022-05-25,6
E12000001,North East,region,2022-05-24,10
E12000001,North East,region,2022-05-23,4
E12000001,North East,region,2022-05-22,0
E12000001,North East,region,2022-05-21,0
E12000001,North East,region,2022-05-20,5
E12000001,North East,region,2022-05-19,7
E12000001,North East,region,2022-05-18,8
E12000001,North East,region,2022-05-17,12
E12000001,North East,region,2022-05-16,5
E12000001,North East,region,2022-05-15,0
E12000001,North East,region,2022-05-14,0
E12000001,North East,region,2022-05-13,9
E12000001,North East,region,2022-05-12,4
E12000001,North East,region,2022-05-11,12
E12000001,North East,region,2022-05-10,20
E12000001,North East,region,2022-05-09,8
E12000001,North East,region,2022-05-08,0
E12000001,North East,region,2022-05-07,0
E12000001,North East,region,2022-05-06,10
E12000001,North East,region,2022-05-05,26
E12000001,North East,region,2022-05-04,8
E12000001,North East,region,2022-05-03,21
E12000001,North East,region,2022-05-02,0
E12000001,North East,region,2022-05-01,0
E12000001,North East,region,2022-04-30,0
E12000001,North East,region,2022-04-29,15
E12000001,North East,region,2022-04-28,9
E12000001,North East,region,2022-04-27,11
E12000001,North East,region,2022-04-26,19
E12000001,North East,region,2022-04-25,11
E12000001,North East,region,2022-04-24,0
E12000001,North East,region,2022-04-23,0
E12000001,North East,region,2022-04-22,10
E12000001,North East,region,2022-04-21,27
E12000001,North East,region,2022-04-20,35
E12000001,North East,region,2022-04-19,14
E12000001,North East,region,2022-04-18,0
E12000001,North East,region,2022-04-17,0
E12000001,North East,region,2022-04-16,0
E12000001,North East,region,2022-04-15,0
E12000001,North East,region,2022-04-14,27
E12000001,North East,region,2022-04-13,30
E12000001,North East,region,2022-04-12,4
E12000001,North East,region,2022-04-11,7
E12000001,North East,region,2022-04-10,0
E12000001,North East,region,2022-04-09,0
E12000001,North East,region,2022-04-08,10
E12000001,North East,region,2022-04-07,22
E12000001,North East,region,2022-04-06,122
E12000001,North East,region,2022-04-05,27
E12000001,North East,region,2022-04-04,5
E12000001,North East,region,2022-04-03,0
E12000001,North East,region,2022-04-02,0
E12000001,North East,region,2022-04-01,7
E12000001,North East,region,2022-03-31,6
E12000001,North East,region,2022-03-30,7
E12000001,North East,region,2022-03-29,18
E12000001,North East,region,2022-03-28,7
E12000001,North East,region,2022-03-27,0
E12000001,North East,region,2022-03-26,0
E12000001,North East,region,2022-03-25,5
E12000001,North East,region,2022-03-24,4
E12000001,North East,region,2022-03-23,4
E12000001,North East,region,2022-03-22,6
E12000001,North East,region,2022-03-21,4
E12000001,North East,region,2022-03-20,0
E12000001,North East,region,2022-03-19,0
E12000001,North East,region,2022-03-18,1
E12000001,North East,region,2022-03-17,4
E12000001,North East,region,2022-03-16,1
E12000001,North East,region,2022-03-15,11
E12000001,North East,region,2022-03-14,3
E12000001,North East,region,2022-03-13,0
E12000001,North East,region,2022-03-12,0
E12000001,North East,region,2022-03-11,5
E12000001,North East,region,2022-03-10,6
E12000001,North East,region,2022-03-09,5
E12000001,North East,region,2022-03-08,12
